candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,uniform_l0p50_s2003,uniform,uniform,2003,0.5,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,1032,0,1032,1032,0,0.50341796875,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l0p50_s2003,uniform,uniform,2003,0.5,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,1032,0,1032,1032,0,0.50341796875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l0p90_s2001,uniform,uniform,2001,0.9,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,1868,0,1868,1868,0,0.9111328125,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l0p90_s2001,uniform,uniform,2001,0.9,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,1868,0,1868,1868,0,0.91162109375,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l0p90_s2002,uniform,uniform,2002,0.9,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,1851,0,1851,1851,0,0.90283203125,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l0p90_s2002,uniform,uniform,2002,0.9,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,1851,0,1851,1851,0,0.9033203125,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l0p90_s2003,uniform,uniform,2003,0.9,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,1837,0,1837,1837,0,0.89599609375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l0p90_s2003,uniform,uniform,2003,0.9,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,1837,0,1837,1837,0,0.896484375,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l1p00_s2001,uniform,uniform,2001,1.0,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,2048,0,2048,2048,0,0.9990234375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l1p00_s2001,uniform,uniform,2001,1.0,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,2048,0,2048,2048,0,0.99951171875,1,1,1,0,1.0,1.0,1
