suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,uniform_l2p00_s2001,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,2,flat_k_grant,0,0,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,uniform_l2p00_s2001,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,2,ecrf,2,2,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,uniform_l2p00_s2002,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,2,flat_k_grant,0,0,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,uniform_l2p00_s2002,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,2,ecrf,2,2,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,uniform_l2p00_s2003,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,2,flat_k_grant,0,0,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,uniform_l2p00_s2003,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,2,ecrf,2,2,0,4096,4096,4096,0,4094,2.0,2,2,2,2048
full50,core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,4,flat_k_grant,0,0,0,16,16,16,0,16,3.5,5,5,5,68
full50,core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,4,ecrf,4,4,0,16,16,16,0,16,3.5,5,5,5,68
full50,core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,4,flat_k_grant,0,0,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,4,ecrf,4,4,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,4,flat_k_grant,0,0,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,4,ecrf,4,4,0,16,16,16,0,16,2.0,2,2,2,482
full50,elephant_mouse_affine,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,4,flat_k_grant,0,0,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_affine,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,4,ecrf,4,4,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_identity,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,4,flat_k_grant,0,0,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_identity,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,4,ecrf,4,4,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,global_fanin_identity,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,4,flat_k_grant,0,0,0,512,512,512,0,512,3.5,5,5,5,1988
full50,global_fanin_identity,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,4,ecrf,4,4,0,512,512,512,0,512,3.5,5,5,5,1988
full50,mixed_phase_always_ready_bit_reverse,4e0ff22112dba73d984cfcc50d6ce2e726f74d4ce2a70b9b7dec5399a7dbe822,4,flat_k_grant,0,0,0,9228,9223,9223,5,9221,2.012794101702266,2,2,5,4096
full50,mixed_phase_always_ready_bit_reverse,4e0ff22112dba73d984cfcc50d6ce2e726f74d4ce2a70b9b7dec5399a7dbe822,4,ecrf,4,4,0,9228,9223,9223,5,9221,2.012794101702266,2,2,5,4096
full50,mixed_phase_always_ready_identity,9fde0ee816a80975d219b57e9799e73c198efc85d6e9aec4cb2a2e4816974705,4,flat_k_grant,0,0,0,9228,9222,9222,6,9220,2.0129039253957925,2,2,5,4096
full50,mixed_phase_always_ready_identity,9fde0ee816a80975d219b57e9799e73c198efc85d6e9aec4cb2a2e4816974705,4,ecrf,4,4,0,9228,9222,9222,6,9220,2.0129039253957925,2,2,5,4096
full50,moving_hotspot_multi_column_s3301,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,4,flat_k_grant,0,0,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_column_s3301,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,4,ecrf,4,4,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_disperse_s3301,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,4,flat_k_grant,0,0,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_disperse_s3301,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,4,ecrf,4,4,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_row_s3301,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,4,flat_k_grant,0,0,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_row_s3301,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,4,ecrf,4,4,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_single_s3301,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,4,flat_k_grant,0,0,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_single_s3301,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,4,ecrf,4,4,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
