name,workload,report_group,trace_sha256,generated,source_overrun,accepted,delivered,errors,compressed_bits,raw_bits,compression_ratio,escape_ratio,same_tokens,run_tokens,delta_tokens,raw_tokens,link_bits_per_event,link_cycles,events_per_link_cycle,events_per_pin_cycle,data_toggles_per_event,toggle_proxy_per_event,raw_events_per_pin_cycle,raw_toggle_proxy_per_event,offered_bits_per_event,offered_compression_ratio,offered_escape_ratio,overrun_ratio,throughput,avg_e2e_latency,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,avg_internal_latency,total_cycles
uniform_l0p125_s2001,uniform,uniform,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,251,1,250,250,0,1510,1000,0.6622516556291391,0.796,18,0,33,199,6.04,874,0.28604118993135014,0.057208237986270026,3.712,9.428,0.1,1.944,6.0199203187251,0.6644606221045665,0.7888446215139442,0.00398406374501992,0.12207,10.828,19.0,27.0,31,8.984,2058
uniform_l0p125_s2002,uniform,uniform,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,261,6,255,255,0,1575,1020,0.6476190476190476,0.8156862745098039,11,0,36,208,6.176470588235294,913,0.2792990142387733,0.05585980284775466,3.631372549019608,9.501960784313725,0.1,2.023529411764706,6.095785440613027,0.6561910747957259,0.8007662835249042,0.022988505747126436,0.124512,11.843137,23.0,32.0,39,9.32549,2058
uniform_l0p125_s2003,uniform,uniform,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,231,1,230,230,0,1410,920,0.6524822695035462,0.808695652173913,12,0,32,186,6.130434782608695,818,0.28117359413202936,0.05623471882640587,3.6608695652173915,9.508695652173913,0.1,1.9478260869565218,6.142857142857143,0.6511627906976745,0.8138528138528138,0.004329004329004329,0.112305,11.33913,24.0,31.0,31,9.069565,2058
uniform_l0p50_s2001,uniform,uniform,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,982,514,468,468,0,1848,1872,1.0129870129870129,0.23717948717948717,0,0,357,111,3.948717948717949,1158,0.40414507772020725,0.08082901554404145,3.9188034188034186,9.92094017094017,0.1,2.0128205128205128,6.141547861507128,0.651301608356823,0.8156822810590632,0.5234215885947047,0.223145,47.705128,69.0,74.0,75,9.931624,2105
uniform_l0p50_s2002,uniform,uniform,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,1038,565,473,473,0,1851,1892,1.02215018908698,0.22832980972515857,0,0,365,108,3.9133192389006344,1162,0.4070567986230637,0.08141135972461273,3.86892177589852,9.871035940803383,0.1,1.9788583509513742,6.240847784200385,0.640938561284347,0.8342967244701349,0.5443159922928709,0.223633,49.272727,71.0,75.0,77,9.900634,2120
uniform_l0p50_s2003,uniform,uniform,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,1032,564,468,468,0,1852,1872,1.0107991360691144,0.23931623931623933,0,0,356,112,3.9572649572649574,1160,0.40344827586206894,0.08068965517241379,3.8675213675213675,9.86965811965812,0.1,1.9914529914529915,6.205426356589148,0.6445971267957527,0.8255813953488372,0.5465116279069767,0.223145,49.397436,69.0,73.0,75,9.942308,2107
uniform_l0p90_s2001,uniform,uniform,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,1868,1367,501,501,0,1715,2004,1.1685131195335277,0.10578842315369262,0,0,448,53,3.4231536926147705,1108,0.45216606498194944,0.09043321299638989,3.8602794411177643,9.862275449101796,0.1,2.003992015968064,6.1338329764453965,0.6521207889684063,0.813169164882227,0.7317987152034261,0.237305,57.49501,74.0,75.0,77,9.413174,2121
uniform_l0p90_s2002,uniform,uniform,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,1851,1350,501,501,0,1695,2004,1.1823008849557521,0.09580838323353294,0,0,453,48,3.3832335329341316,1098,0.4562841530054645,0.0912568306010929,3.8802395209580838,9.882235528942116,0.1,2.0,6.276066990815775,0.6373418266333821,0.8411669367909238,0.7293354943273906,0.238281,59.183633,75.0,76.0,77,9.373253,2111
uniform_l0p90_s2003,uniform,uniform,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,1837,1336,501,501,0,1687,2004,1.1879075281564908,0.09181636726546906,0,0,455,46,3.367265469061876,1094,0.4579524680073126,0.09159049360146253,3.900199600798403,9.902195608782435,0.1,2.003992015968064,6.172019597169298,0.6480860822014465,0.8225367446924333,0.7272727272727273,0.238281,57.275449,74.0,75.0,77,9.357285,2107
uniform_l1p00_s2001,uniform,uniform,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,2048,1544,504,504,0,1692,2016,1.1914893617021276,0.08928571428571429,0,0,459,45,3.357142857142857,1098,0.45901639344262296,0.09180327868852459,3.876984126984127,9.878968253968255,0.1,1.996031746031746,6.22021484375,0.6430646047570453,0.83203125,0.75390625,0.239258,59.859127,75.0,76.0,77,9.347222,2117
