name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
global_fanin_identity,global_fanin,codec,16,2,5,266,512,512,0,512,32,0,1824,960,3.5625,0.10666666666666667,52.5,60,2048
global_fanin_identity,global_fanin,raw,16,4,8,266,512,512,0,512,32,32,2048,544,4.0,0.11764705882352941,39.5,47,2048
global_fanin_identity,global_fanin,codec,16,4,8,266,512,512,0,512,32,0,1824,512,3.5625,0.125,38.5,46,2048
global_fanin_identity,global_fanin,raw,32,1,3,522,512,512,0,512,32,32,2048,2080,4.0,0.08205128205128205,135.0,158,2142
global_fanin_identity,global_fanin,codec,32,1,3,522,512,512,0,512,32,0,1824,1856,3.5625,0.09195402298850575,112.5,120,2104
global_fanin_identity,global_fanin,raw,32,2,5,522,512,512,0,512,32,32,2048,1056,4.0,0.09696969696969697,87.5,95,2079
global_fanin_identity,global_fanin,codec,32,2,5,522,512,512,0,512,32,0,1824,960,3.5625,0.10666666666666667,84.5,92,2076
global_fanin_identity,global_fanin,raw,32,4,8,522,512,512,0,512,32,32,2048,544,4.0,0.11764705882352941,71.5,79,2063
global_fanin_identity,global_fanin,codec,32,4,8,522,512,512,0,512,32,0,1824,512,3.5625,0.125,70.5,78,2062
moving_hotspot_multi_column_s3301,moving_hotspot,raw,4,1,3,74,1821,495,1326,495,124,124,1980,2104,4.0,0.07842205323193917,64.67676767676768,99,2109
moving_hotspot_multi_column_s3301,moving_hotspot,codec,4,1,3,74,1821,495,1326,495,124,124,1980,2104,4.0,0.07842205323193917,64.67676767676768,99,2109
moving_hotspot_multi_column_s3301,moving_hotspot,raw,4,2,5,74,1821,918,903,918,230,230,3672,2066,4.0,0.08886737657308809,26.758169934640524,43,2070
moving_hotspot_multi_column_s3301,moving_hotspot,codec,4,2,5,74,1821,918,903,918,230,230,3672,2066,4.0,0.08886737657308809,26.758169934640524,43,2070
